GEO;LOC;DA;EJAFUNG1;EJAFUNG2;EJAFUNG3;EJAFUNG4;EJAFUNG5;EJAMED1;EJAMED2;EJAMED3;EJAMED4;EJAMED5
Nordeste;Total;Pública;15,8;0,2;42,5;2,2;39,3;50,3;0,8;41,4;3,1;4,4
Nordeste;Urbana;Pública;24,0;0,4;48,5;2,7;24,4;52,0;0,8;40,6;3,1;3,5
Nordeste;Rural;Pública;6,5;0,1;35,6;1,6;56,2;37,2;0,7;48,2;3,2;10,7
Sudeste;Total;Total;48,9;0,9;43,2;2,5;4,5;61,3;1,2;31,3;3,3;2,9
Sudeste;Urbana;Total;49,4;0,9;43,0;2,6;4,1;62,1;1,3;30,8;3,4;2,4
Sudeste;Rural;Total;43,2;0,9;45,3;1,3;9,3;48,8;0,5;39,4;3,0;8,3
Sudeste;Total;Federal;62,1;5,7;16,1;11,5;4,6;82,5;5,3;7,1;4,9;0,2
Sudeste;Urbana;Federal;62,1;5,7;16,1;11,5;4,6;82,5;5,3;7,1;4,9;0,2
Sudeste;Rural;Federal;34,0;0,4;47,9;2,1;7,8;54,45;0,8;36,0;2,3;2,2
Sudeste;Total;Estadual;55,8;1,1;36,0;3,3;3,8;62,0;1,2;30,6;3,5;2,7
Sudeste;Urbana;Estadual;58,2;1,2;34,3;3,7;2,6;62,9;1,2;30,0;3,5;2,4
Sudeste;Rural;Estadual;44,7;0,8;44,2;1,4;8,9;48,8;0,5;39,3;3,0;8,4
Sudeste;Total;Municipal;47,0;0,8;45,6;2,1;4,5;49,0;1,2;49,0;0,7;0,1
Sudeste;Urbana;Municipal;47,3;0,8;45,5;2,1;4,3;49,0;1,2;49,0;0,7;0,1
Sudeste;Rural;Municipal;39,5;1,2;48,5;1,2;9,6;54,45;0,8;36,0;2,3;2,2
Sudeste;Total;Privada;37,7;1,0;50,4;2,9;8,0;50,4;1,7;39,4;1,9;6,6
Sudeste;Urbana;Privada;37,5;1,0;50,6;3,0;7,9;50,5;1,7;39,3;1,9;6,6
Sudeste;Rural;Privada;47,2;0,0;39,6;0,9;12,3;46,1;0,0;44,7;1,3;7,9
Sudeste;Total;Pública;49,8;0,9;42,6;2,5;4,2;61,9;1,2;30,9;3,4;2,6
Sudeste;Urbana;Pública;50,4;0,9;42,3;2,6;3,8;62,7;1,3;30,4;3,4;2,2
Sudeste;Rural;Pública;43,2;0,9;45,4;1,3;9,2;48,8;0,5;39,3;3,0;8,4
Sul;Total;Total;44,5;1,1;48,2;2,3;3,9;64,8;1,6;27,7;2,8;3,1
Sul;Urbana;Total;44,7;1,2;48,0;2,4;3,7;65,4;1,6;27,5;2,6;2,9
Sul;Rural;Total;39,5;0,3;51,5;1,7;7,0;43,1;0,7;33,6;10,1;12,5
Sul;Total;Federal;74,5;6,4;19,1;0,0;0,0;86,0;5,3;5,8;2,6;0,3
Sul;Urbana;Federal;74,5;6,4;19,1;0,0;0,0;86,4;5,4;5,6;2,3;0,3
Sul;Rural;Federal;34,0;0,4;47,9;2,1;7,8;82,8;4,7;7,8;4,7;0,0
Sul;Total;Estadual;70,1;0,7;23,5;1,9;3,8;70,1;0,7;23,5;2,2;3,5
Sul;Urbana;Estadual;72,1;0,8;22,0;1,8;3,3;71,2;0,7;23,1;1,9;3,1
Sul;Rural;Estadual;44,9;0,0;43,0;3,0;9,1;40,3;0,4;35,0;9,7;14,6
Sul;Total;Municipal;42,6;0,8;52,0;2,3;2,3;59,8;1,6;36,2;1,0;1,4
Sul;Urbana;Municipal;42,9;0,8;51,7;2,4;2,2;62,1;1,8;33,4;1,2;1,5
Sul;Rural;Municipal;36,4;1,0;58,6;0,0;4,0;43,5;0,0;56,5;0,0;0,0
Sul;Total;Privada;29,8;1,7;60,6;2,7;5,2;50,7;3,5;38,8;4,3;2,7
